Unnamed: 0,content,annotation,label
15054, yew miss mhe lolss,"{'notes': '', 'label': ['0']}",0
962,ohh everytime I see that nasty ass husband  wants me to beat the shit outta him,"{'notes': '', 'label': ['1']}",1
8210,@jawkdna Coke sucks  Pepsi rules.,"{'notes': '', 'label': ['0']}",0
9704,dude! it's just a gay name  totally straight show.,"{'notes': '', 'label': ['0']}",0
19378,  looooooove them!,"{'notes': '', 'label': ['0']}",0
405,summer workout tape? How you gonna workout to Kanyes depressing ass album  ok  maybe 2 songs,"{'notes': '', 'label': ['1']}",1
4045,this job would be great if it wasnt for the fucking customers,"{'notes': '', 'label': ['1']}",1
6831,haha. it just bugs me. because posers like her make it harder for people that truely are gay to be accepted,"{'notes': '', 'label': ['1']}",1
8831,I HATE MY CPMOUTER it sed on stickie note that they changed stuff around and they did it happend to others :Sss,"{'notes': '', 'label': ['0']}",0
14470,  hippi van,"{'notes': '', 'label': ['0']}",0
9713,That sucks.  Hope that gets resolved quickly for you.,"{'notes': '', 'label': ['0']}",0
5852,I just got done busting my ass for the day. I need Booze!,"{'notes': '', 'label': ['1']}",1
18019,  You are :),"{'notes': '', 'label': ['0']}",0
11563,i can fuck with birdwalk..cuz it's a dance beat..but that stupid yes sir..HELL NO!! eat a d*. LOL gucci bandana is aite. not hott,"{'notes': '', 'label': ['0']}",0
10038,Um... I hate birds. Bleech!,"{'notes': '', 'label': ['0']}",0
19989,  You'll neverr know (:,"{'notes': '', 'label': ['0']}",0
184,i was spanked but do not  only because it makes my kid behave worse  so doesn't work. not a lot does work-kinda sucks too.,"{'notes': '', 'label': ['1']}",1
19937,  hmm.r my husband.,"{'notes': '', 'label': ['0']}",0
119,Already on the coffee. I love her  but hate the whole spite thing. Climbed right on top of me to do it!,"{'notes': '', 'label': ['1']}",1
17054,  toasted lol wat a random question !,"{'notes': '', 'label': ['0']}",0
17779,  ummm no. im not bored enough to do that haha,"{'notes': '', 'label': ['0']}",0
1199,All those people who hate Hillary are the same ones who voted for her husband and loved her before Obama.  Just seems strange.,"{'notes': '', 'label': ['1']}",1
16374, Would you rather read a magazine or a book?r,"{'notes': '', 'label': ['0']}",0
5429,we are so silly and pathetic and so fucking cool! You tellin me you choking made me choke! And I am sitting next to some girl w ...,"{'notes': '', 'label': ['1']}",1
15250,  mine used to be. i used to take 30 ish minute showers. lately they have been between 15 and 20 minute showers :] so im saving water yay! :],"{'notes': '', 'label': ['0']}",0
16899, If you won a million dollars what would you do with it?,"{'notes': '', 'label': ['0']}",0
465,what da drilly wit dat do! ...oh  and i STILL got distribution in Japan...damn  that chick was the worst that night,"{'notes': '', 'label': ['1']}",1
444,if Q is there tell him he sucks. He's dark and plays suspect lol,"{'notes': '', 'label': ['1']}",1
6322,Drake.  He knows his mother was a bitch.,"{'notes': '', 'label': ['1']}",1
10114,:)  I need a volunteer/guinea pig. Send one my way?,"{'notes': '', 'label': ['0']}",0
759,well shit then I know I'll catch on ... who the fuck wouldn't be interested in what I have to say.. LOL!,"{'notes': '', 'label': ['1']}",1
4068,Ugh. Probably the same brain-deficient retard who stole my name on Youtube  Gaia  and all the faggy sites. How old is she?,"{'notes': '', 'label': ['1']}",1
1508,Wow  that sucks - work at home day?  @PrincessErsatz - I couldn't agree more - good day to be under the covers  relaxing.,"{'notes': '', 'label': ['1']}",1
7665,i hate u. looooooool,"{'notes': '', 'label': ['1']}",1
15694, Do you have a calender in your room?,"{'notes': '', 'label': ['0']}",0
19586, How many hours of sleep do you need to function?,"{'notes': '', 'label': ['0']}",0
1744,DAMN! I'll wait a month before I send mine for a critique! LOL,"{'notes': '', 'label': ['1']}",1
18637, Have you broken any bones?  If so  how?,"{'notes': '', 'label': ['0']}",0
8477,hahahahhaahaha I hope you kicked his ass!,"{'notes': '', 'label': ['0']}",0
19409,  sometimes and only when needed ;],"{'notes': '', 'label': ['0']}",0
4092,"I still think you should be prouder of the ""Fuck fuck fuck!"" but ""Rock!"" is pretty good. When will you be teaching her ""FUCK YEAH""?","{'notes': '', 'label': ['1']}",1
7229,SWEEET you've just become cooler in my book or as someone said earlier today.. kick ass... so 80's :),"{'notes': '', 'label': ['1']}",1
6090, RT this then GO fuck yourself stay the FUCL out of lives and HOPEFULLY you'll die a Horrendous DEATH for all to WATCH ,"{'notes': '', 'label': ['1']}",1
9657,"I will stick with the wine  yet ""try"" to adapt to some semblance of moderation - but damn that's a tough goal  Ha!","{'notes': '', 'label': ['0']}",0
6092,you won't die in Queens we're civilized here in Queens  hell there's a Starbucks & McDonald's on damn near every corner  have fun,"{'notes': '', 'label': ['1']}",1
4676,I don't use the touchpad(I hate them) I always use a USB mouse. We are a toshiba family.. we have four,"{'notes': '', 'label': ['1']}",1
6742,that sucks :-(,"{'notes': '', 'label': ['1']}",1
14319, Do you sing in the car?,"{'notes': '', 'label': ['0']}",0
15049, I just have to say  I do -NOT- believe the Earth will actually end. It is a quote from one of my favorite  thought-provoking movies named Donnie Darko. It&;s not a &;2012&; movie  either. You&;d have to see it.,"{'notes': '', 'label': ['0']}",0
16393, Have you ever spent over an hour thinking about nothing but your crush?,"{'notes': '', 'label': ['0']}",0
5130,FUCK FUCK FUCK FUCK BIIAAAATCH!,"{'notes': '', 'label': ['1']}",1
18739,  Hhahahahaah ohh noo problem mamas! ahah me2 im soo exhaustedd *yawn* *ywan* LMAO!,"{'notes': '', 'label': ['0']}",0
17902, 123 or 789?,"{'notes': '', 'label': ['0']}",0
14203, i love youu chica!<33,"{'notes': '', 'label': ['0']}",0
11439,omg dude! im so sorry!! that totally sucks. is it bad??,"{'notes': '', 'label': ['0']}",0
14720, And i add u again later,"{'notes': '', 'label': ['0']}",0
12751,You must have missed the fag grapevine call about Eartha. I am sick. Going back to bed. Blah!,"{'notes': '', 'label': ['0']}",0
10394,I remember trying one of those when my teen was a little one.  Those damn tents make u wanna commit murder!,"{'notes': '', 'label': ['0']}",0
13111,Not yet  the woman was wanting to escape  but I'm taking care of the situation  pppfff. I hate these kind of things :S,"{'notes': '', 'label': ['0']}",0
8694,that's a Damn good question ... a rose by any name ...,"{'notes': '', 'label': ['0']}",0
2198,"Fuck that shit. I told people... ""DON'T MAKE THAT ACCOUNT!"" and someone had to do it. Fuck that shit.","{'notes': '', 'label': ['1']}",1
10371,Btw  have you seen School Rumble? It's fucking silly and stupid  but awesomely hilarious. I'm half-way through the first season.,"{'notes': '', 'label': ['0']}",0
17657,  no komment,"{'notes': '', 'label': ['0']}",0
15768,  Okay thenn?,"{'notes': '', 'label': ['0']}",0
16259, N3qRO WUZZ YA NUMBER,"{'notes': '', 'label': ['0']}",0
6838,or maybe go see bolt tonight? or both? don't know if you're busy for white whale stuff... but it's my bday. let's celebrate,"{'notes': '', 'label': ['1']}",1
5167,So you were a geek and gay at a very young age ;),"{'notes': '', 'label': ['1']}",1
3505,"You didn't imagine it. It was the ""get away from her you bitch"" climax scene being parodied.","{'notes': '', 'label': ['1']}",1
19021,  About a month ago. For my yearly check up.,"{'notes': '', 'label': ['0']}",0
19834, What did you dream about last night?,"{'notes': '', 'label': ['0']}",0
13481,#NAME?,"{'notes': '', 'label': ['0']}",0
10556,I know! To be fair he's been working on law school apps all day. I already hate law school and he hasn't even started yet! :),"{'notes': '', 'label': ['0']}",0
367,Funny I always thought Job Security is dependent to how much ass you can kiss? (wait I guess they are one of the same if you think..),"{'notes': '', 'label': ['1']}",1
19665,  purple :P,"{'notes': '', 'label': ['0']}",0
12949,I'm not sure I could work in politics. I hate the dress code.,"{'notes': '', 'label': ['0']}",0
11771,That sucks. My MBP came with a DVI out and a VGA adapter dongle.,"{'notes': '', 'label': ['0']}",0
12608,Olivia you dick! I have your phone and your wallet!,"{'notes': '', 'label': ['0']}",0
5957,yo... you should have another show tomorrow cuz we had to record the past two days... damn albums...,"{'notes': '', 'label': ['1']}",1
3975,a pussy snow,"{'notes': '', 'label': ['1']}",1
3898,bitch ass hot sounds pretty crappy.,"{'notes': '', 'label': ['1']}",1
540,and the arabs pussy count reaches 250 million. There I said it  we're all a bunch of pussies. No offence to the pussies,"{'notes': '', 'label': ['1']}",1
7313,Unfortunately  I can't take credit for that blog-- I found it while surfing the 'net at 4am and laughed my ass off!,"{'notes': '', 'label': ['1']}",1
19113,  IloveyoumoreBABYGIRL<3 (;,"{'notes': '', 'label': ['0']}",0
19898, Who would make a better spy...a woman or a man?,"{'notes': '', 'label': ['0']}",0
7246,damn australians!,"{'notes': '', 'label': ['1']}",1
19008, bahahahahhaha ;p,"{'notes': '', 'label': ['0']}",0
481,Dang I hate the little buttons. GO BACK ONE TWEET!,"{'notes': '', 'label': ['1']}",1
373,"lol exactly. ""Hey guys  how about a 13-sided paralellogram? THAT'LL fuck em up!","{'notes': '', 'label': ['1']}",1
14676, hi:D,"{'notes': '', 'label': ['0']}",0
19105,  ii lovee yuuu moree:P,"{'notes': '', 'label': ['0']}",0
3872,thanks  the nerd in me is overjoyed,"{'notes': '', 'label': ['1']}",1
17531, profile song!!!,"{'notes': '', 'label': ['0']}",0
17732,  at the same time...... whaaaaaaaaaat? lol,"{'notes': '', 'label': ['0']}",0
7819,Yes you are a loser... I could have told you that a long time ago...,"{'notes': '', 'label': ['1']}",1
5091,A gay couple getting married in NYC isn't going to change anyone's idea about marriage. Divorce has redefined marriage.,"{'notes': '', 'label': ['1']}",1
94,OK but I'm telling you  it's going to be hard for me to fight my inner grammar nerd. I'll do it for the cause though ;),"{'notes': '', 'label': ['1']}",1
11288,"I hate ""open"" themes! lol  Dang I wish we had a camera club here....how hard would it be to start one I wonder???","{'notes': '', 'label': ['0']}",0
1981,the only show more thug is the nigga who be in the woods eating beetles and drinking his piss! that niggas GANGSTA!,"{'notes': '', 'label': ['1']}",1
13643,I hate Sunday nights becoz the next morning brings the budget meeting. Bleh...,"{'notes': '', 'label': ['0']}",0
18607,  Not to my recollection. but funny you ask  because my brother just did that and busted our neighbors chair at my sisters grad party this past sunday. it was hilarious!!,"{'notes': '', 'label': ['0']}",0
11149,i still have that broken ass alienware laptop... alienware = over-rated imho.,"{'notes': '', 'label': ['0']}",0
325,i'd love to visit (or live) in san diego cause of yr round warm weather. i hate cold so bad. crowds n traf would b my probs there,"{'notes': '', 'label': ['1']}",1
933,LOL!!! VIOLATOR IS THE TRUTH!!! HATE THEM AND U MUST HATE URSELF!!!,"{'notes': '', 'label': ['1']}",1
9332,thanks girl  and damn you @robertocstone for sending me that OJ da Juiceman mixtape cover. LMAO,"{'notes': '', 'label': ['0']}",0
4123,if i get scared ill be sure to throw u in the way so u shiver in terror and piss ur pants like u already did,"{'notes': '', 'label': ['1']}",1
6116,This week in fuck?,"{'notes': '', 'label': ['1']}",1
10859,- i know  right!? it's lammmeee. except  i'd love her too.she's hot. and funny. you're right. i hate my life.,"{'notes': '', 'label': ['0']}",0
9064,Dont get ur not close? That seems more normal 2 me. I'm not fake and hate all thats fake. Fake families r worse than none!,"{'notes': '', 'label': ['0']}",0
9095,I hate him. Even though we have the same name.,"{'notes': '', 'label': ['0']}",0
13405,Oooh...that sucks. I wish I could help. :(,"{'notes': '', 'label': ['0']}",0
6095, sometimes I hate how contagious US culture is,"{'notes': '', 'label': ['1']}",1
14015,YOU are not a loser  your a good mom and you speak your mind. Sorry your feeling down  feel better.,"{'notes': '', 'label': ['0']}",0
14803, Have you ever eaten a crayon?,"{'notes': '', 'label': ['0']}",0
6396,Keep your damn hands off my @jgarber. We claimed him first!,"{'notes': '', 'label': ['1']}",1
15125, I LOVE ADTR! VvV They&;re my fav. I know every song by heart.,"{'notes': '', 'label': ['0']}",0
7429,damn right,"{'notes': '', 'label': ['1']}",1
3746,You're soft...Dude ran our country into the ground with no shame whatsoever...People need to be throwing boots  fuck a shoe...,"{'notes': '', 'label': ['1']}",1
14685,  its sunny now. summers ahead of us.,"{'notes': '', 'label': ['0']}",0
10290,I gained this week too  I hate it b/c I knew it before I went in  and held my accountability and wi. It makes me determined,"{'notes': '', 'label': ['0']}",0
16116, Do you think people end up warped if they are not loved as a child?,"{'notes': '', 'label': ['0']}",0
5055,...fuck jared leto. i forgot it was his bday. 25th HIS BIRTH 26th MY BIRTH ECHELON THROUGH THE BACK DOOOOR.,"{'notes': '', 'label': ['1']}",1
14253, You can choose your method of dying and the place in which you will die. Where would you like to die and how?,"{'notes': '', 'label': ['0']}",0
7100,so do i! especially rocket. I hate celery though,"{'notes': '', 'label': ['1']}",1
13263,true. Damn. The poor world is doomed!,"{'notes': '', 'label': ['0']}",0
13362,Where's Fat Philly's?,"{'notes': '', 'label': ['0']}",0
2863,I've never been to New York  and Peyton was an ass when the Chargers wanted to draft him  but I do love to win.,"{'notes': '', 'label': ['1']}",1
18896, what time is it?,"{'notes': '', 'label': ['0']}",0
19352,  I'm not wearing,"{'notes': '', 'label': ['0']}",0
18536, Did u know the sky is blue :O unless u get all scientific and say its back ~_~,"{'notes': '', 'label': ['0']}",0
4223,I have no idea why I live here. It sucks in the winter.,"{'notes': '', 'label': ['1']}",1
1840,dude no offence you're awesome but currently I think I hate you. :0),"{'notes': '', 'label': ['1']}",1
3596,She's probably saying all kinds of phony shit and giggling like she's 13 years old. God  I hate her.,"{'notes': '', 'label': ['1']}",1
18934, I Hate When Formspring Messes Up  Don&;t You ? -_-,"{'notes': '', 'label': ['0']}",0
19402,  Awee'  your gonna hand it too mee? Lol,"{'notes': '', 'label': ['0']}",0
13073,damn..wolfmother.  really?  I had no idea who the rest of the bands were besides Velvet Revolver. LOL,"{'notes': '', 'label': ['0']}",0
18712, GUYS- What do you hate most about girls?  GIRLS- What do you hate most about guys?,"{'notes': '', 'label': ['0']}",0
17392,  Hmm I wonderr? Maybee my babeyyboy<3,"{'notes': '', 'label': ['0']}",0
12828,Well hell  looks like I know what I'll be doing Tues. This is the worst  no? Cold  dark  boring as fuck. I want 2 sleep til April.,"{'notes': '', 'label': ['0']}",0
12527,That I can understand. And because I really can see both sides  it just sucks.,"{'notes': '', 'label': ['0']}",0
18458,  Dark. I am a vampire. I am a vampire.,"{'notes': '', 'label': ['0']}",0
19998, What&;s something unique about Ohio? :),"{'notes': '', 'label': ['0']}",0
45,Has it snowed where you are?? I miss the damn snow. I haven't seen any in forever. Everyone has some snow but me :( lol,"{'notes': '', 'label': ['1']}",1
1698,you said fuck everyone!,"{'notes': '', 'label': ['1']}",1
19566, Ever come close to death?,"{'notes': '', 'label': ['0']}",0
16866, Weirdest pet you have ever had?,"{'notes': '', 'label': ['0']}",0
8074,Thanks for the DM...I hate them 2 but another player over 100 million...that makes 5...Deep Pockets???,"{'notes': '', 'label': ['0']}",0
10753,Its nearly 8pm Mon...coming to u from the future and it looks damn great (madhouse prerequisite = a healthy dose of insanity),"{'notes': '', 'label': ['0']}",0
16619,  Yes but I hate that so much. I  usually try to make up by saying something funny :),"{'notes': '', 'label': ['0']}",0
8216,still snowing like a bitch here in Tijeras.,"{'notes': '', 'label': ['0']}",0
7882,if the opportunity arises  aye aye. God  I hate kids.,"{'notes': '', 'label': ['0']}",0
19454, :),"{'notes': '', 'label': ['0']}",0
17511,  Sunset :],"{'notes': '', 'label': ['0']}",0
14145,  yes :),"{'notes': '', 'label': ['0']}",0
17094,  I like to think so. :/,"{'notes': '', 'label': ['0']}",0
19118, You are walking down the street on your way to work. There is a dog drowning in the canal on the side of the street. Your boss has told you if you are late one more time you get fired. What do you do?,"{'notes': '', 'label': ['0']}",0
1088,"how about ""bitchling pig  suckas!""","{'notes': '', 'label': ['1']}",1
3009,that sucks that you're sick. Sorry to hear that.,"{'notes': '', 'label': ['1']}",1
7600,i didn't laugh  fag.,"{'notes': '', 'label': ['1']}",1
161,women are fucking disgusting.,"{'notes': '', 'label': ['1']}",1
19078, what is your favorite season?,"{'notes': '', 'label': ['0']}",0
5955,heard there were 2do fairies tht come & do ur 2do list if u put a list by the freplce (kinda like leaving cookies 4 the fat guy),"{'notes': '', 'label': ['1']}",1
19388,  not really,"{'notes': '', 'label': ['0']}",0
10626,I HATE my white trash christmas outfit its terrible i look terrible and fat in it.  I dont know if i can do it.,"{'notes': '', 'label': ['0']}",0
16243,  lol yupz,"{'notes': '', 'label': ['0']}",0
5231,no way. they REALLY hate you  don't they?!,"{'notes': '', 'label': ['1']}",1
4761,yes & i cant fucking wait!  I can hardly bring myself to review - i must but dont want to.,"{'notes': '', 'label': ['1']}",1
3140,Did...I mention that among my new disciplines are Dementation  Dominate  Presence  and Obtenebration?  I am fucking AWESOME.,"{'notes': '', 'label': ['1']}",1
2462,fat bastard,"{'notes': '', 'label': ['1']}",1
6563,I read WP as WordPress but damn that is hilarious.,"{'notes': '', 'label': ['1']}",1
6747,I haven't been online all day  whore.  Trust me... one post from me is going to be more than you want at your house.,"{'notes': '', 'label': ['1']}",1
13958,w/e. Still a nerd.,"{'notes': '', 'label': ['0']}",0
2807, If you think i care about what you think of me  then you&apos;ve highly over estimated my opinion of you! bitch/,"{'notes': '', 'label': ['1']}",1
9583,I think there's a point where there's sometimes just too much ass. no?,"{'notes': '', 'label': ['0']}",0
15640, Chocolate or vanilla?,"{'notes': '', 'label': ['0']}",0
17293, In your opinion  is being argumentative a positive trait or a flaw?,"{'notes': '', 'label': ['0']}",0
8667,Per my other tweets  I've (hopefully temporarily) stopped using Adium because it sucks up 75-80% of my CPU! :-(,"{'notes': '', 'label': ['0']}",0
7522,LMAO!! Hot sauce indeed!  but sheeeeit. you can take a picture of @shaydechelle wrapped in ME! fuck the dumb lol,"{'notes': '', 'label': ['1']}",1
6603,except now they have his crazy ass son to deal with  probably.,"{'notes': '', 'label': ['1']}",1
5707,cant wait to get FUCKED THE FUCK UP,"{'notes': '', 'label': ['1']}",1
19183,  yeah good thing,"{'notes': '', 'label': ['0']}",0
7257,I just needed an axcuse to share it.  I hate oatmeal  actually.,"{'notes': '', 'label': ['1']}",1
2831,damn your evil 60 minute IPA beckoning me from the fridge right now...,"{'notes': '', 'label': ['1']}",1
7102,Noooo  this is not caffeine. This is IT! Let's kick ass and then CELEBRATE! C'MON  girlie. We got it goin' ON!,"{'notes': '', 'label': ['1']}",1
9952,"-- ""Never start a fight; always finish one."" Wait. ""We live for the One  we die for the One."" Damn...hang on...","{'notes': '', 'label': ['0']}",0
2168,oh. yeah. no loving for nikki. poor nikki. she's too emo.,"{'notes': '', 'label': ['1']}",1
7873,Well  well  well...damn that sounds fantastic LOL I'm sorry  what exactly was it that you wanted?,"{'notes': '', 'label': ['0']}",0
1936,damn straight! I say you  me and danie have an epic rap party over break since we'll all be off. Yes?,"{'notes': '', 'label': ['1']}",1
8461,dude after last night goddamn I am beat the fuck up. And it's NEGATIVE 44 DEGREES up here in Winnipeg. So crazy...,"{'notes': '', 'label': ['0']}",0
6946,good u an ur no sharin ass LOL,"{'notes': '', 'label': ['1']}",1
3756,biiiiiishop! - fuck u want? - yo ass punk...,"{'notes': '', 'label': ['1']}",1
10968,lol. that could work... he'd only lose like $1600 a year given how often the damn comic comes out,"{'notes': '', 'label': ['0']}",0
11757,nerd. Lol. It was yummy. But its not bread. Cake :),"{'notes': '', 'label': ['0']}",0
18633, Who&;s better?  Superman or Spiderman?,"{'notes': '', 'label': ['0']}",0
11582,*jaw drops to the floor* did you just call brendon a whore????!!! * Z snap* no you just did not. lol. he is not a whore,"{'notes': '', 'label': ['0']}",0
17799,  i was 18,"{'notes': '', 'label': ['0']}",0
11319,...except for software. In my experience (not nerd cache) Final Cut&gt;Premiere and Pro Tools and Logic Pro&gt;Cubase. Photoshop is =.,"{'notes': '', 'label': ['0']}",0
10010,Im watching it now...Ice is like an old uncle who can still rap and tear that ass up lyrically,"{'notes': '', 'label': ['0']}",0
4774,"I wanna get him a ring that means ""ur a great kid to fuck""","{'notes': '', 'label': ['1']}",1
321,you are fucking killing me. Please come to a party at my house next time yer in LA. Rice pilaf will be ready,"{'notes': '', 'label': ['1']}",1
13794,not a control freak - would gladly give up any of the glamorous morning duties! will continue to sigh loudly for now.,"{'notes': '', 'label': ['0']}",0
14496, Chicken Or Hamburgers?,"{'notes': '', 'label': ['0']}",0
15102, Spontaneity or stability?,"{'notes': '', 'label': ['0']}",0
18460,  Like 2 in a half years? I think.,"{'notes': '', 'label': ['0']}",0
14047,I know.. but it sucks the whole family is down and out and i have to work :(  Plusthe nanny is out of town.,"{'notes': '', 'label': ['0']}",0
18067, Would you describe yourself as an argumentative person?,"{'notes': '', 'label': ['0']}",0
2560, Leave Texas bitch!! No one here wants you!! Quit hating on Texas and Brock  we were perfectly fine without you BITCH! ... sooo LEAVE!,"{'notes': '', 'label': ['1']}",1
17793, the most ticklish part of your body is..,"{'notes': '', 'label': ['0']}",0
9273,ahahaha. you're a nerd. &lt;3,"{'notes': '', 'label': ['0']}",0
17942,  The yellow one!,"{'notes': '', 'label': ['0']}",0
11423,Congrats mate!  That kicks ass!  You should post on the forum to encourage others :),"{'notes': '', 'label': ['0']}",0
15367, Are you vain?,"{'notes': '', 'label': ['0']}",0
9542,good! fuck yo car but yay :),"{'notes': '', 'label': ['0']}",0
12821,that wat u get for sayin u wasn't impressed lmao. The parkin tickets a bitch though,"{'notes': '', 'label': ['0']}",0
3277,what da drilly wit dat do! ...oh  and i STILL got distribution in Japan...damn  that chick was the worst that night,"{'notes': '', 'label': ['1']}",1
11197,i'm looking 4 a WOW gift 4 my gf...*sigh* i HATE buying presents 4 ppl; i never know what 2 get! MsLika,"{'notes': '', 'label': ['0']}",0
18389,  Yes.,"{'notes': '', 'label': ['0']}",0
685,Better than that shit ass falafel box you eat once a week  I'm sure ,"{'notes': '', 'label': ['1']}",1
12802,awwww. ur last twitters were kinda adorable. not in a gay way,"{'notes': '', 'label': ['0']}",0
10071,:-( That sucks... I've got pretty muscular calves from dancing but usually do okay with the lace ups.,"{'notes': '', 'label': ['0']}",0
4738,ZOMGZ Fontfeed! I am such a Font Freak&#174;. I used to have 5000 fonts on my puter. The poor thing nearly choked to death on them.,"{'notes': '', 'label': ['1']}",1
19107,  yes,"{'notes': '', 'label': ['0']}",0
12287,ugh that sucks! I couldn't imagine if that happened to my DVR!,"{'notes': '', 'label': ['0']}",0
19101, why do u have a new &quot;girlfriend&quot; like every single month??,"{'notes': '', 'label': ['0']}",0
4530,how fucking sad is the OVA of Samurai X...i didn't want to watch that.. fuck i almost cried.. lol :P jk,"{'notes': '', 'label': ['1']}",1
16749, What turns you off?,"{'notes': '', 'label': ['0']}",0
1184,cool. But that fireplace looks totaly gay.,"{'notes': '', 'label': ['1']}",1
7914,those will sell like hot cocks....cakes...hot cakes...damn it!,"{'notes': '', 'label': ['0']}",0
19223, How much are you going to release that information for? I would gladly pay to know that.,"{'notes': '', 'label': ['0']}",0
19230,  Hmmm..I know a lot. Umm I guess psychology. The brain. It interests me just because people are interesting and dumb and so confusing.. I'd like to know more about that. :),"{'notes': '', 'label': ['0']}",0
12274,Happy Fucking Birthday  my Bitch! Love you!,"{'notes': '', 'label': ['0']}",0
8516,@andsoitis26 ouch.  2nd time I ve been called a fat ass this week.....,"{'notes': '', 'label': ['0']}",0
4694,Fuck you and your snow! Or  bring some of it down here? ;),"{'notes': '', 'label': ['1']}",1
6439,bitch you wish.,"{'notes': '', 'label': ['1']}",1
16100, what dont you like about yourself? (and everyone hates something about themselves),"{'notes': '', 'label': ['0']}",0
5185,I don't wanna sound gay or nuthin'  but that sir... is an arousing pic.,"{'notes': '', 'label': ['1']}",1
14597, do you like justin bieber,"{'notes': '', 'label': ['0']}",0
3962,shut the fuck up LOL. I wanted to take a pic so bad but it would have been obvious. My mom wanted the hat. I just tried it on haha,"{'notes': '', 'label': ['1']}",1
12103,@MartinAndLegend I have an absess in a very uncomfortable place. Waiting on the surgeon's opinion. This sucks.,"{'notes': '', 'label': ['0']}",0
937,Fuck a serato record  I was worried about my windows crackin..lol..I can live w/o a serato record  I don't have a backup window.,"{'notes': '', 'label': ['1']}",1
3044,man i'm jealous of your day! i'm also hooked on twitter. damn arv. like i needed another procrastinating tool like this.,"{'notes': '', 'label': ['1']}",1
3655,horrified mum can squlor (he hasnt been gone long enough) Im a chiness pig its what we do riding this till the end of 2008,"{'notes': '', 'label': ['1']}",1
14981,  probably my last week in idaho  i had alot of fun,"{'notes': '', 'label': ['0']}",0
