content,y_pred,y_test
i always fall on ice! It's my third time this winter! Ugh i hate snow sometimes.,0,0
 Are you a morning or night person?,0,0
  Pfftt!! nahhh i hve never been outta this country!! Argh! hve yuh?! haha,0,0
omfgshz. i hate lemonbars with a DEEP passion  too!,0,1
 do you think its possible for a human to sleep with there eyes open?,0,0
 We're having a BAD ASS gathering in May  you should come. Of course  the best part is the hanging out downtown after. :),1,1
http://twitpic.com/xm6u - You have an inbox folder for CYA - Covering Your Ass?,0,1
- Yea man these big bloggers always think they are the best.. Will have to show them X-( I fking hate Big bloggers..,0,0
  Not currently,0,0
i got ur ticks  but yo ass ain't gonna come! lol,1,1
I guess everything's alright but I hate this still.,1,1
grab that... It's yours  bitch!,1,1
before i click on your link there  i just want to say that i am who i am and if that offends  ive done my fucking job. =),0,0
 you like painting?,0,0
  ewww i hate that stuff :P,0,0
 If a kid refuses to sleep during nap time  are they guilty of resisting a rest?,0,0
@nannon_x who the fuck is charles? yoooooooooouuuuuuuuuuuu,1,1
 jerrrk.,0,1
closing now. some gay xmas thing,1,1
remind me to tell you about screaming at our fat naked neighbor at our old place.,0,0
ok  now THAT sucks.,0,0
Damn straight. I just don't understand it. I was born thinking like this. I'd like to believe everyone else was  too... we'll see.,0,0
 teehee du yuu luh mee?!?!<3,0,0
It sucks (for us too at SlideShare). Hope Apple does something about it.,0,0
You must have missed the fag grapevine call about Eartha. I am sick. Going back to bed. Blah!,0,0
aww that's awful!! XD I loved the art  and watching them all freak out. I hated the asian dude  he was a dmbass.,1,1
Whoa. Marc Blucas' new hair is a fucking crime against humanity. The horror. From loveable goof to douchebag  instantly.,1,1
bitch you wanna go? Ill kick your ass,1,1
will have 0the radio on Monday 4 all ur favorite Xmas tunes! paybks r a bitch and so am i. *Kate Souter*,0,0
rogue. I hate you and your ability to spell correctly. though some of them were red  but they were communist. not rouge.,1,1
  not too much. we're okay! :) hahaha How are you? I missed talking to you actually.,0,0
 The last song you listened to?,0,0
damn I can't believe all that happen to her hair. I always thought it was simple 2 straighten natural hair,1,1
how does self awareness keep one from being a nerd?,0,0
http://twitpic.com/wlgq - Damn  brother.  You got a sweet hook up there.,0,0
 what&;s the last thing you said to your sibling?,0,0
Damn  I want to Milton  wish I could be there.  'Look homeward  Angel  now  and melt with ruth ' I guess.,0,0
 Is your middle finger longer than your ring finger?,0,0
fuck u BIATCH!!!,1,1
  sure will,0,0
Funny that the guy's last name is Dick...bwaha! :-D,1,1
damn clean plate and the cl;ean bones lol.,1,1
happy brithday dumb ass :) have a good one  you AMAZING PERSON YOU ..LOL,0,0
violent ass...,1,1
 hey do you have a hairy ass i would love to put my tounge deep in you,0,1
that is an awesome analogy/comment because turkey bacon sucks LOL If your going to have bacon it should be real!,0,0
 I love you like I love to sing. I love you like I love to swim at night. I love you like I love my kitties. I love you like how I love to day dream about you. Someday you&;ll realize I do love you  for now bffls I guess,0,0
hahahah is he at least hot? Hahah. I can't wait to go home to see who this guy is haha. I hate creepy skeevy guys on myspace LOL,0,0
 y do u have a big nose seriously no girl have a big nose ?,0,1
Why what? Hate payment history letters?,0,0
Sorry  almost everything about digital distributed movies sucks right now and it's not looking to change soon. DVD + BD for me.,0,0
sorry i missed you @ Cain but they weren't very nice to my gay boy - I think some1 was jealous...missu  hope to see ya soon ;),1,1
  sherbert. yes :),0,0
LOL! i know i tried a few times and had no luck. damn my mouth! :),0,0
 right now I'm on this Mikkeller barley wine joint. I stepped on some crazy smoked beer I got earlier like a fucking retard,0,0
i have to work tomorrow  too.Lucky you! Everyone here sucks.How do they do this routine for 30 yrs?!,0,0
oh man. You would love(or hate) my bacon chocolate.,0,0
fuck. :( &lt;3,1,1
YES. the thing is big enough for my ass plus another half. its like my parents couch.,0,1
yeah face book sucks because they use your real name... thats almost anti-internet,0,0
meeting friend for lunch/coffee. Getting hair cut (although I hate that bit) and my works do in the evening!,1,1
Ouch.  That sucks!!,0,1
That was fucking hilarious... WIN,1,1
Fat Bastard.,1,0
No God no. Fuck no. Fucking fuck god no.,1,1
Lolol well i hate u. K thx &lt;3,1,1
SHUT THE FUCK UP!,0,1
Joe the Plumber: scofflaw  activist  or just another cheap-ass?,0,0
  Thank you,0,0
Freak!,1,0
look at soulja boy  Many Many MANY ppl hate him and constantly talk about him  all that is free publicity,0,0
fuck you,1,1
Pig passle?? You northern folks are a bit strange. We barbecue our pigs in the south!!,0,0
Love him or hate him  He is the man soon to be leading this country. He is everybodies hope of a turnaround!,0,0
CHALUPA!!!!  I hate how TB is only open till 11...  :/,0,0
a pussy snow,0,1
  when i wanna be haha,0,0
  lmfao! haha! Nahh its my badd;),0,0
  probably just the movie itself,0,0
I actually WANT school tomorrow  as it's my work day  and I want cancellation on WED.  since it's exam day. Damn my luck.,0,0
 Would you rather be as big as an elephant or as small as a mouse?,0,0
 ur mad ugly.,0,1
"ugh  yes. I am a consumer whore... ""and how!""",1,1
Nope.  Just like there's nowhere you can act an ass on the internet without the entire world hearing about it. Fact o' life.,0,0
  sweeeeeeeeeeeet,0,0
  Lemon :] hahaha,0,0
 this one and the one about boys at six flags flirting with you that were older  yeah that&;s too,0,0
Laser treatment for pimples? Meh. Metrosexual a.k.a gay pride! Hahaha!,1,1
Grammar nerd.,1,1
damn u i wanted to see sexy lesbian porn lmao,1,1
damn right,0,1
bitch you wanna go? Ill kick your ass,1,1
  (:,0,0
Is it as fun as it was 20yrs ago?  Damn  i just aged myself  doh!,0,0
a fat boy sweet talker?,1,1
I'm kinda meh on it--It wouldn't even be a contest as Madonna would kick his ass while he was running around screaming.,1,1
fight it sweetheart i would hate for you to lose that beautiful voice to smoking,0,0
How the hell do we get in these money situations? Sometimes I just feel like saying fuck it and have them come for my car.,1,1
whats wrong with a monkey fuck? Lol i got my zippo fueled so no need of monkey fucks now lol,1,1
hate you...it's freezing here...my nipples will freeze off before I get home,0,0
Investing is hard  losing money is too damn easy. I should write a book.,0,0
 What is the wallpaper on your cellphone?,0,0
i update from my phone a lot  you can add twitter as a contact. damn bsa is getting all high tech.,1,1
aaaawwwww not the Rock em Sock em!! damn i think just drooled...,0,0
"says ""ahaha thankss. my auntie kim always says it grassy ass=] she's amazing.""",1,1
  hahahahahahaah thanks spency :DDDDD <3 you,0,0
"(RT) Fat Bastard (my beagle) is writing his ""tail-all"" confessional diary about online dating...",1,1
I want to see a picture of you right before you decided to shave your head. That would kick ass  especially if you are crying.,1,1
Thats pretty damn awesome! Very smart :) @Aaronage Sure!,1,1
oh yeah! Radios powered by pork fat!,1,1
  idk haha,0,0
Shouldn't u be working?? You know i hate being cold. :) --- MaryZ41: @sleighz hey! what does THAT m,0,0
i dont care if its him or his ppl ... i care if its authorized or a poser squatting,1,1
Holy shit just looking at that list pisses me off. Why the fuck are the Jonas Brothers on there?,1,1
So  it seems you are an attn whore.....no comment. ;-),1,1
 What&;s the last furry thing you touched?,0,0
 who&;s &quot;jokes&quot;,0,0
Yes  I have you and a bunch of other special people following me.  I just don't wanna waste the follow on some random fuck. :),0,0
that sucks  how many dogs? ...2?,0,0
 the last thing I want to do before I die is...,0,0
FUCK! hahaha well that sucks xD,0,0
 Last time you had butterflies in your stomach?,0,0
hell no  i hate crowds!  i have no plans for tomorrow :(  what are you doing?,0,0
 If you could go on vacation for the next month with an unlimited budget  where would you go?,0,0
HOLY SHIT. Fuck that band.,1,1
Damn! Which episode?,0,0
 you came up with angry gay guy...,0,1
2008 is over? Damn  what'd I miss! I quit keeping track of years after 'Buffy' went of the air...,1,1
"Thanks for the follow.  By the way  I LOVE the mantra: ""Find out what sucks & don't do that"".  Words to live by!",0,0
fuck u and ur fucking break =/,1,1
I haven't seen the fail whale in a month or more. Saw it today!,0,0
haha no gay stuff is good! cuz i tend to be attracted to females! haha jus chillen getting ready for work!,0,1
 Who&;s the most overrated athlete?,0,0
Fuck that  boo the DJs who don't play Che..Dude has at least 5 songs every DJ should be playin HEAVILY...DJs need to stop slackin.,1,1
fuck isnt filtered is it?,0,0
I imagine. Another thing  every time I open the Reader  my subscription folders are ALL open. I hate that too.,1,1
Did you just call me a bitch?  You're still upset because @CatalinaLoves is moving in on your bitch.,1,1
There go the Mets adding to that high ass payroll for another collapse. Man i can take the Mets blowing another division lead!,0,0
That I can understand. And because I really can see both sides  it just sucks.,0,0
  nope. but i do deja vu sometimes haha,0,0
i've been on twitter 1 week and am about 20 shy of 500. does that make me a loser? LOL LOL LOL,1,1
oh my gosh i HATE christmas music  but i have to turn it up and sing along whenever that one comes on.  can't help myself!,0,0
@hermanos @jamessime wow I totally know that fine line between love and hate! #dead_by_january_i_didnt_sign_up_for_this_shit,1,1
 What&;s the best place near you to get some ice cream?,0,0
Mine  I seem to fuck it up all the time. I'm off ~30 bucks. I'll leave it that way for 2-3 months and finally put an entry (cont),1,1
It was a great fucking song thougu,0,0
kiss my icecubes formerly known as my ass cheeks.,1,1
--- each confit will make the fat saltier (it's already pretty salty)  and when it gets too salty I'm deep frying with it.,0,0
slap a bitch? What you want to do is CHOKE A BITCH like Wayne Brady!,1,1
I'm gay and I'm pregnant gak mungkin berhasil. This guy is persistent. Gmn ya. Can I just simply ignore his msgs??? :-D,1,1
  toilet paper.,0,0
 Do you enjoy going shopping? If so what type of things do you enjoy buying?,0,0
Girl! That. Damn. Commercial. !!!,0,0
What a fab site! I didn't see the cozy *snort* but I want the mermaid gloves! Damn I wish I'd paid attention to my Nana... xxx ooo,1,1
EXACTLY! GOT DAMN!,0,0
your mom sucks  BITACH!,1,1
Damn  your taking me back tonight.  Quik  Cube  BombSquad..Quiks whole crew had the best posse cuts.  Except for Rap-A-Lot...,0,0
Not talking about incident but more so the attitude that I'm gonna bitch & make a comp do something on a subjective matter.,1,1
  nope,0,0
ps...ur cute...ur good looking  your funny  your a dick  your an ass  your cynical. I LOVE IT!,0,1
damn man u have an amazing boss!,1,0
  Happiness is too complicated to say yes or no. I like to think so.,0,0
I remember and that's why I loves that ass. U make me feel special. Lol,0,0
& I was there helping your ass pack to get on the plane. A tru friend - helping you track a sub sized weiner like fucking GPS,1,1
LOOK @ UR TEXTS OR I'M GONNA FREAK OUT @ U!!!,0,1
and @justlikeanovel: *raises hand rather gaily* One real gay man right here  darlings! HOLLA! #supergay,1,1
 I can&;t find you on facebook I was lookin&; for you &amp; a Tosha Good came out O___O,0,0
That's right.  It takes a freak cold front followed by an effing huge snow storm!,0,0
yr gay voice =],1,1
  KFC mashed potatoe bowl :),0,0
your first time? you'll soon be sick of the damn thing...,1,1
 Dude they dont finish enclosing the fucking showers. I hate half assed jobs. Whats the reasononing behind it? Makes no sense.,1,1
fuck...I forgot,0,0
You won't miss much.  Her husband is cheating  she's pregnant  he's an ax murderer  her son is gay. That's pretty much the soaps,1,1
It is totally rad  I assure you. But being a loser with no life outside the internet  few people ought to see you in it. ^__^,1,1
See it too A friend of mine uses acai berry but for medical purposes. {shrugs} Damn @ her being hella skinny. I may try... Maybe,0,0
Dam Right. Fuck em,1,1
heh i'm a thunking (friggin hate that word - 'thunking' how daft - anyway) - is it a CON?,1,1
  robin in batman. i thought robin was the best and thought he should be the star!! hahah and my favorite power was..? hmm..well i guess spidermans powers. he is sick. haha,0,0
 What do people most often criticize about you? (If some of these are doules I am so sorry.),0,0
well @askfrasco is  still trying to figure out how to get my ass to UK in Jan! need a business angle!,0,0
whatever you do just don't roll your eyes. they hate that. those peaceful scenes fly out their heads and they WILL b-slap you!,1,1
LIES! I HATE HIM!,1,1
because someone that im not friends with anymore bought the shoes that i want just to piss me off. but im better now.,0,0
  dirt poor,0,0
 GIRLS - Do|Have you cheered? GUYS - Do|Have you played football? :],0,0
which keyboard do u hate? I hate iPhone keyboard. Yes touchscreen is cool but I WISH I had actual buttons 2 push! Less typo's,1,1
"$100k? No prob. We're all over it! ""Socialbees transforms your Facebook page from 'blah' to a brilliant ass kicking machine"" ;D",0,0
 What is your zodiac sign?,0,0
 damnit  then im out  my bad for asking :),0,0
I just noticed that they're opening for 'em. Damn  I'm stupid.,0,0
 yea you'll fuck around and get that ASS tapped tomorrow u keep talking reckless like you are doing,1,1
lenee  that bo*o ass incense you gave me smells like an episcopalian funeral. lol! choked out saturday night  etc.,1,1
  pictures pictures and more pictures,0,0
 where is Old Zealand?,0,0
I just read ass pet a cat.  Adam...that's just wrong.  :P,1,1
 I said 666. The opposite of me.,0,0
 Do you listen to christian rock?,0,0
basically we agreed that you/http://lofistl.com are awesome/bad ass. Not gonna lie  i brought you up! ;),1,1
May have to end up getting a MAC myself... and an iPhone... Although just can't get used to the touch screen. Fat fingers.,0,0
hah! nice. gunther parties are the best kind of parties. :) next is rhianna. all those songs we hate to love. lol.,0,0
Hey buddy  you've been kicking ass and taking names.  Keep up the good work.,0,0
"I wanna get him a ring that means ""ur a great kid to fuck""",1,1
  ummmm possibly a week haha i was cleaning myself haha im not a dirty person but like i had a broken arm anyways im sure it was less then that D:,0,0
fuck them!,1,1
"rat bastages. Then they use the inflated rents to claim ""we're charging fair market value!"" Fair my generously portioned ASS.",0,0
Nope  Pho Pasteur  tho I just heard that they upped their price. Xe Lua sucks.,0,0
or maybe go see bolt tonight? or both? don't know if you're busy for white whale stuff... but it's my bday. let's celebrate,1,1
2 Spare ass annie tracks in 2 podcasts! What a joy ;) + I love Sufjan Stevens so was great to hear one of the Xmas tracks nice one,0,0
oooo thats not fun! i hate those things  the orthodontics people are mean to me!,1,1
  yes,0,0
Don't say anything to freak him out (that includes all of you CSPers)  but I'm pretty sure her mom already has them married.,0,0
  lots and lots,0,0
nope  I kept fucking up anyways,0,0
yeah  fucking predictive text,1,1
 Have you ever had head lice?,0,0
dear Ed  you're incredible at what you do.  plus  this song is kinda gay.....  well... really gay.,0,0
  synonym book :P,0,0
  not at all!!! I smile too much,0,0
you really hate katy perry don't you?,0,0
damn son I always down for foos. Maybe I'll swing up tonite for some football  peanuts and foos,0,0
goddamn it kj...fuck you 58 times http://tinyurl.com/59blcl,1,1
that sucks  @krkipp99 plays this game called cube crash that she really likes. You should check it out.,0,0
  te,1,0
wow... I feel like a real loser now! ; ) haha  better get my but in gear!,0,0
damn dude you stay on the road!...lol,0,0
check it on your wii  whore.,1,1
I'll get my beer before too long... that's for DAMN sure! LOL,0,0
That really sucks I'm sorry. I'd get shitfaced with you but I'm stuck up here on the plateau.,1,1
I fukin called ya white pussy gammon ass like 2times smh...I juss got ofa work now...ima head by u,0,0
cuz montana sucks?,1,1
  musician :D,0,0
 what would be your course if your current course didn&;t exist?,0,0
 Favorite Sesame Street Character?,0,0
lol the fuck what concert was that,1,1
  yes,0,0
you're not a twitter slut until you show us full frontal nudity... so until then you're just a tease =P,1,1
fuck yes,0,1
Fuck. Well  you can for a low cost of 19.99 with shipping and handling. But that's only if you really want to.,1,1
  One fluently. Spanish pequinta,0,0
u know  that's what I hate about Ohio  seeing grown up idiots in shorts when it's freezing outside :0),1,1
you're a dick for the Heroes spoiler.,0,0
that's excellent advice. thanks. i'd hate to be trapped by my own clothes,0,0
  Well thank you :] you are too!,0,0
fucking beautiful shoes.,0,0
  haha no im not lmao,0,0
 i can see the revolting illegal avatar now :) tempted to make my pussy misbehave in sympathy,1,1
This is the first day that it has really kicked my ass.  I am DETERMINED so I am considering alternatives.,0,0
 Mall or Park?,0,0
I am still on hold with Sprint!  I'm so mad!! I want to throw the damn phone away. It's been way over an hour!,0,0
"They beeped out ""cock"" .. eh gad! What do they do with vera on corination street with here ""Coming to the rovers cock?""",1,1
damn dude  we just missed each other in phoenix,0,0
goddamn it kj...fuck you 29 times http://tinyurl.com/6pey6r,1,1
i hate when i miss mac chats! grrr,1,1
haha naw pink fuck that! You just know what you want  and I feel you. whoo-hoo! lmao!!,1,1
 What brand of shampoo and conditioner do you use?,0,0
that's what I hated most about meridian. long ass walk to campus. best part? blocks from adams morgan!,0,0
 Why?!?! D:,0,0
  yeah good thing,0,0
Dead Like Me  isn't that the one where that girl dies and then chills with other dead people but she's still alive?  It sucks.,0,0
i literally could not breathe. that was so fucking scary.,1,1
Thanks for your kind words about Sincerity Sucks. That's always been one of my favorites.,0,0
That sounds like Charter.  I hate Charter.,1,1
about kickin' some canadian ass?,0,0
Ok you are gay for watching that show you damn flake lol.,0,0
i fuck wit u.  u got skillz homie.,1,1
  YESSSSSS. i love to dance :],0,0
dude the talk about universe at #LeWeb is awesome. As a nerd guy you have to watch it,1,1
hate it all you want but its a hit record. And Jumpin Out the Window is by Ron Browz. I know its gotta be hot in NY.,1,1
oh fuck yea  i fucking love fake christmas. especially with fake christians. i think we called it chanukah!,0,0
lets kick discmaakers' ass for christmas,0,0
whaha ja maar het is zon raar idee dat ze dat lezen xD en dat BOB FUCKING BRYAR iets tegen me 'gezegt' heeft xD je moet vragen o,1,1
don't hate on ghajini. It was an awesome movie.,0,1
  nothing. my boo is studying and im FSing :D,0,0
oh damn Hootie! Yup late 90's. Now that I think about it  I was a big Hootie and the Blowfish fan... back in high school.,0,0
  Thankss(:,0,0
 Have you ever cried in public?,0,0
 hahah do u kno how mannnyyy ppl have asked me if i was going out with u? haha,0,0
Fuck the Atrium. That is all.,1,0
You can stop voting now. Holy fuck. If only McCain had you on his side  and you were 18.,1,1
you hate me now dont you??? getting a twitter isnt enough for you??? fine... *shuns*,0,0
Love hate?,1,1
damn right. Unfairly maligned is the poor sardine.,0,0
 If an orange is orange and called an orange  why is a banana yellow and not called a  yellow?,0,0
oh no!! that sucks!,1,1
I'm looking forward to my son kicking my ass at chess. Will not be hard to accomplish.,0,0
  positive :],0,0
you're a European so stop being a bitch to @mbites or I'll stop buying your chocolate  of which  I once bought 22 kilos :),0,0
kim kardashian annoys me...her ass is nice  but Reggie could get it!,0,1
holy fuck. i would just make pasta or something if i were you  that is ridiculous.,1,1
if he's upset with Brandyn's work area I'd hate to see wha he thinks of mine :P,1,1
Already on the coffee. I love her  but hate the whole spite thing. Climbed right on top of me to do it!,1,1
  not that i can think of,0,0
 What do you dislike the most?,0,0
 haha me too  haha iloveyouutooBABYY<3;D,0,0
 being fake has nothing to do with your looks,0,0
I never said anything about lovin ya  dick cheese  just that I say your name alot  probable with fuck in there somewhere,0,1
 That's a very interesting point and one I hadn't heard before. Copper for elec motors? Damn  I love twitter.,1,1
New Hampshire. They have receieved a reported 'metric ass ton' of snow. How's Detroit hanging in there?,0,0
 do you have twitter? =),0,0
you taking the piss out of my posh schooling?!! *Grins!*,0,0
"I always respond to that use of gay by asking if the subject really is ""fag-o-licious"".",1,1
 Do you generally believe people when they telly ou sorry? Or do you question it?,0,0
Aww... Dnt hate the weather  rain can be so soothing sometimes!^^ I still have one more test DD:,1,1
what the flying fuck? How the fuck do you reply to this shit. Testing  bitch ass cunt test.,0,0
Damn.  That is a beautiful car.,0,0
 Do you know how much a peso would be worth in the United States today?,0,0
  heck yess.,0,0
 Do you have a secret that no one knows but you?,0,0
lol hate to admit this for everyone on twitter to see  but i've actually started doing this too.. horrible..,0,0
i just deleted all the people that i have on my facebook off myspace Damn if everyone switched i could just delete the account,1,1
awe  how gay :P,1,1
That's gay. Poor MCR.,1,1
I responded and asked you  but yes it does vary. Some think gay marriage is immoral. I think those people are bigots.,1,1
 The Beatles or The Temptations?,0,0
i am  just so behind now . . it sucks.,1,1
 If you were given a chance to go to the moon  would you go? Why or why not?,0,0
stop saying you hate gwen! Youposted earlier saying you love her! Ur hot then ur cold ur yes then ur nooooo,1,1
  Dependss .,0,0
 Do words really hurt you?,0,0
  haha yeah probably.,0,0
I meant boo YOU whore!,1,1
I HATE YOU!,1,1
I hope Nova recovers quickly  I hate to see another dog suffer :(,0,0
wat a fag....,1,1
  iDnt even kno if she iz,0,0
haha! No. We have a new stand up board at work and we have barstools to sit on. I hate them!,1,1
still afraid of needles?  i just got told i've got to have 12 into my face. Fuck illness.,0,0
damn its ollie's bday? Yall should stop by over here too!,0,0
fuck  yes.,0,0
@DaveBenjamin I HATE THAT...,1,1
damn you overload issues! :(,1,1
Thank You  Thank You.  I would hate to get banned from either  but. Phew! My bad...,0,0
 ur coooooool,0,0
 Y0 D!(K W0obbl3 !n y0ur p@n+$ ?,0,0
Noooo - damn  that site is brilliant aswell - damn it!,0,0
  Hi my name is Nico. Its a pleasure to meet you :),0,0
OMG. GREAT list! I can add to TMI Freak. Folo one who shares stories about sex toys. No joke.,0,0
In case it's not obvious  the rabbit  glasses and ass are not phone-cam pix.,0,0
 heey. how many other formsprings do u have? like 50? damn. get a life.,0,1
 i aqree completely aboutt hello kitty !,0,0
 Do you like hugging people when you meet them or are you uncomfortable doing this?,0,0
LIBRARY! I AM A GEEEEEEEK  NERD  WHATEVER . . .HATE THE CREEPY CRAWLIES  NO HOT WATER  etc.!,0,0
Ech! LOL....if it was me  I would wash the sweats at least twice...then again I hate bugs!,1,1
yeah cuz his show was on some wack ass arsenio for sports type shit  they need him in a jim rome type setting,0,1
  no. i dont but thats cuz im insecure about myself,0,0
i just love that movie! damn it!,0,0
Nope a regular blackberry. Damn this 5 year tmobile contract.,0,0
I remember when I realized I needed to stop wearing shit from PacSun & Metropark. Getting old sucks.,0,0
didja punch a bitch?,1,1
 Do you have a fetish?,0,0
Seriously! 'Oh Great  a giant American flag! WTF are we supposed to do with it? Fuck it  send it to Price is Right',1,1
damn son,1,1
It sucks though when you have nothing to do at 4AM and your roommate wants to sleep.,1,1
it's cuz twinkle sucks :),0,0
I am getting the royal rigga-ma-rool on it. Called CS  sent email  we'll see. Buts it's all automated now and CS just sucks!,0,0
Ha LOL. Don't worry. Josh and I don't exist on the winner or loser side. And the Pix.ly logo is on the loser side though.,0,0
you got that right! People stealing others' generators  & other stuff inside the homes when they know no one's home..sucks big time,1,1
thanks hun i made it to cerritos in some alright timing...wow LA traffic is a mother of a bitch and im being nice...,0,0
You clearly haven't seen the post-shoe interviews. The man is such a fucking narcissistic idiot. I didn't know hate til he was prez.,0,0
 how old are you?,0,0
 AJ is a good bop too. Now I want Pettite or Sheets.  FUCK Lowe.  I want a pretzel,0,0
... this is so post gay  it hurts .... NSFW! http://tinyurl.com/6d9ew5,1,1
damn it. i lost any cred i had built up with murs. @srhaber: yes  love the new dcfc record!,0,0
they waiting for an Xbox or something? damn lol,0,0
"dirty @babyface_GM Ive actually found most people dont understand ""BBW.""  Then again  I now describe myself as Fat rather than BBW.",0,0
wht the fuck Ever go get a Life I'm DONE  w/ yr DRAMA  & yr FUCKED up life  & yes go ahead & RT if u rlly don't have a life,0,0
  No.,0,0
@BIG_RIG Said u look like a Fag! idk? He's gay! It's like a 3 way double door action thing I don't want to get involved with lOl!,0,0
God Damn !! Ok ... How about Peter Duncan then ?,0,1
Hey  no big. It's not my ass that's showing.,0,0
I tried to rickroll my office christmas party last night but the damn band didn't know it!,1,1
I've been wondering that myself. Its been down for quite a damn long time... @tqbf any comment on that?,1,1
!!!!!!!!!! ya bitch  u prove it,0,0
  Listen to music  feed my newwest fishy :] and cuddle with my boyfriend. Unless im not happy with him and then  I go hang with my family. They always make me happy hahhaha,0,0
I don't use the touchpad(I hate them) I always use a USB mouse. We are a toshiba family.. we have four,1,1
It's not weird you hate that. Me  too but sometiimes the list gets a little unwieldy.,1,1
  Hahaha!!! Ohh cool wait are yuh thee april on twitter?! april2? haha yay! We beasts yo! haa,0,0
oh LOL I use a client so I never get the fail whale :-p,1,1
 What&;s one way people commonly misspell your name?,0,0
i hate you,1,1
damn your doing that with your iPhone camera / wife  me both love it.,0,0
Cuz u wanna fuck ricky martin,1,1
Oh that sucks!!! So they were able to retrieve them :-(  I am so sorry!  That is my worst nightmare...,0,0
 What is happening around you?,0,0
Facial hair is a dominant trait among our east end nerd herd - 'cept the ladies tho,0,0
heh! ping me if you do come down to gay paris. We can interview eachother on the red carpet :),1,1
enak aja! nick carter ga gay!!,1,1
 :) Are you currently happy in your life right now?,0,0
wow emo... Ik ben benieuwd...,1,1
 Beep.hello moto.its TEEANNUHH. Do u hav stds?,0,0
"Reminds me of another apt metaphor (Northerners say ""fuck you"" to mean ""how nice""; Southerners say ""how nice"" to mean ""fuck you"").",1,1
The FA50 is a low key ultra here in ATL. It stands for Fat Ass 50K. Loop course  so you could do 25K...Half Ass.,1,1
